Month,Solar,Wind
January,432.82454,1610.3566166666667
February,470.8682166666667,2211.71339
March,750.7843966666666,2674.94774
April,827.0678199999999,2050.60548
May,921.1136366666668,1601.8767233333335
June,945.6852533333332,1660.1682133333334
July,975.61688,1329.1998533333333
August,958.5521466666665,1272.5877333333335
September,846.0423000000001,1358.43758
October,772.2620766666665,1923.0117300000002
November,607.39722,2368.0404533333335
December,471.8104866666667,2560.659866666667
