Model,Solar MAE,Wind MAE
SARIMAX,133.8323216719905,288.10527908730046
Random Forest,229.56633874285768,236.78693702857183
Neural Network,1071.3669417676654,1838.4316638503592
LSTM,1086.6884939761571,1844.6387933543588
