date,WND,SARIMAX_Forecast,Random Forest_Forecast,Neural Network_Forecast,LSTM_Forecast
2023-06-01,1428.09773,1945.1517326022947,1740.6480024000005,1844.8135,1774.1742
2023-07-01,1421.20565,1094.3656505388424,1310.922972,1067.9877,1082.0286
2023-08-01,1666.59718,1158.4008594899205,1554.8908341999995,1174.8263,1164.0067
2023-09-01,1257.3767,1957.157668299684,1302.528976200001,1665.2563,1487.916
2023-10-01,2047.97851,2546.4266150102103,1739.6210345,2010.2274,1991.828
2023-11-01,2601.02982,2714.581542682203,2219.9538199000003,2364.5479,2421.479
2023-12-01,2511.99954,2588.116445109499,2281.2668501,2292.1384,2450.5168
