date,SUN,WND,month,temp,wind_speed,precipitation
2021-01-01,313.85997000000003,1309.79095,2021-01,-4.096666666666667,11.373333333333333,1.8633333333333335
2021-02-01,233.49777,1589.46623,2021-02,-3.935714285714286,11.075000000000001,2.092857142857143
2021-03-01,552.00175,2874.2064,2021-03,2.8483870967741933,14.54516129032258,1.7774193548387098
2021-04-01,572.01193,1642.59194,2021-04,8.92,11.996666666666666,3.9799999999999995
2021-05-01,637.82369,1384.5979100000002,2021-05,14.406451612903227,12.393548387096773,2.3483870967741933
2021-06-01,636.4018599999999,1894.7934400000001,2021-06,21.323333333333334,10.3,3.26
2021-07-01,575.03017,1021.38094,2021-07,21.029032258064515,9.32258064516129,8.225806451612904
2021-08-01,549.77322,1059.9034199999999,2021-08,22.703225806451613,8.383870967741935,4.451612903225806
2021-09-01,547.80085,1658.80549,2021-09,18.026666666666664,9.603333333333333,5.306666666666667
2021-10-01,436.20193,1722.05436,2021-10,13.103225806451613,9.229032258064517,6.574193548387096
2021-11-01,420.22436,2043.08898,2021-11,3.716666666666667,10.42,2.396666666666667
2021-12-01,287.23168,2570.8210099999997,2021-12,1.3483870967741935,10.506451612903225,3.0290322580645164
2022-01-01,389.32291,1798.5377300000002,2022-01,-7.158064516129032,11.203225806451613,2.0580645161290323
2022-02-01,495.34995,2304.98006,2022-02,-3.382142857142857,13.271428571428572,3.457142857142857
2022-03-01,710.41818,2516.06334,2022-03,1.961290322580645,12.97741935483871,3.4
2022-04-01,833.77779,2216.75658,2022-04,7.9,14.020000000000001,3.936666666666667
2022-05-01,839.4403400000001,1480.8568599999999,2022-05,16.758064516129032,10.0,2.2580645161290325
2022-06-01,913.23845,1657.61347,2022-06,19.296666666666667,11.56,4.306666666666667
2022-07-01,953.48472,1545.01297,2022-07,23.44516129032258,10.23225806451613,3.0225806451612898
2022-08-01,979.5334,1091.2626,2022-08,23.374193548387098,8.754838709677419,2.6903225806451614
2022-09-01,834.62094,1159.13055,2022-09,16.88,8.513333333333334,4.1066666666666665
2022-10-01,843.23414,1999.00232,2022-10,10.774193548387096,8.264516129032257,2.5290322580645164
2022-11-01,606.73034,2460.00256,2022-11,6.2,10.956666666666667,2.756666666666667
2022-12-01,486.61748,2599.1590499999998,2022-12,-0.964516129032258,11.009677419354839,3.358064516129032
2023-01-01,595.2907399999999,1722.74117,2023-01,-0.08064516129032258,10.509677419354839,3.3419354838709676
2023-02-01,683.75693,2740.69388,2023-02,-1.2678571428571428,12.728571428571428,2.0571428571428574
2023-03-01,989.93326,2634.57348,2023-03,1.6064516129032258,13.55483870967742,3.7935483870967746
2023-04-01,1075.41374,2292.46792,2023-04,9.946666666666665,13.0,3.24
2023-05-01,1286.07688,1940.1754,2023-05,14.648387096774194,12.316129032258065,1.4258064516129034
2023-06-01,1287.41545,1428.09773,2023-06,18.913333333333334,10.43,3.966666666666667
2023-07-01,1398.3357500000002,1421.20565,2023-07,22.77741935483871,8.899999999999999,8.454838709677418
2023-08-01,1346.34982,1666.59718,2023-08,20.241935483870968,10.845161290322581,6.103225806451612
2023-09-01,1155.70511,1257.3767,2023-09,17.996666666666666,8.76,2.19
2023-10-01,1037.35016,2047.97851,2023-10,12.76774193548387,10.270967741935483,2.696774193548387
2023-11-01,795.2369600000001,2601.0298199999997,2023-11,3.2,11.593333333333334,1.9766666666666666
2023-12-01,641.5823,2511.99954,2023-12,2.083870967741935,10.461290322580645,5.577419354838709
